Released_on,place_matches_cleaned,Text_Length,Sentiment_Score,View_Class,Engagement_Ratio,Like_Ratio,Day_of_Week,cast_jethalal,cast_daya,cast_bhide,cast_taarak,cast_tapu,cast_champaklal,cast_sodhi,cast_anjali,cast_sonu,cast_goli,cast_madhavi,cast_hathi,cast_roshan,cast_popatlal,cast_babita,cast_iyer,cast_bagha,cast_sundar,cast_nattu
2008-07-28,Gokuldham Society,86,-0.25,Hit,0.05138693318915633,1.3988448013742965,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2008-07-29,Gokuldham Society,59,-0.6666666666666666,Hit,0.022928027292193637,0.8341448026373068,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-07-30,Gokuldham Society,54,-0.5,Hit,0.02594037895559179,0.8280404632304844,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-07-31,UNKNOWN_LOCATION,71,0.0,Hit,0.017518092087874516,0.7838618117361642,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,UNKNOWN_LOCATION,60,0.0,Hit,0.018932782430130215,0.8267418198537237,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-04,UNKNOWN_LOCATION,46,0.0,Hit,0.01662540403273085,0.8009323006837982,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-05,Gokuldham Society,52,0.25,Hit,0.018906353566907112,0.8417650129918349,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
2008-08-06,Gokuldham Society,74,0.0,Hit,0.017164349788364917,0.7874826054085118,2,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-08-07,Gokuldham Society,65,-0.5,Hit,0.01640301570508869,0.8312053222764632,3,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
2008-08-08,UNKNOWN_LOCATION,44,-0.5,Hit,0.017516553492805703,0.8283144862020829,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-11,UNKNOWN_LOCATION,67,-0.5,Hit,0.015113586229972834,0.7373766939861692,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-12,UNKNOWN_LOCATION,50,0.0,Good,0.021931698778775793,0.9825780313037401,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008-08-13,Gokuldham Society,54,0.5,Hit,0.015042875386583115,0.6964627882793242,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
2008-08-14,UNKNOWN_LOCATION,64,0.0,Good,0.014542567530992215,0.7521363715065493,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-15,UNKNOWN_LOCATION,53,0.0,Hit,0.013200311027162834,0.7747257476079201,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-18,Gokuldham Society,56,0.5,Hit,0.017292784670610396,0.7858212195246886,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-19,Gokuldham Society,60,0.0,Hit,0.012120368505315117,0.6955287707416926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-20,UNKNOWN_LOCATION,66,-0.5,Hit,0.014963698604000993,0.7461629296711981,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-21,UNKNOWN_LOCATION,58,0.5,Hit,0.01721736045374148,0.9505174009174371,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-22,Gokuldham Society,55,0.6666666666666666,Hit,0.01328507673255365,0.7052054560575468,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-25,Gokuldham Society,45,0.0,Hit,0.022859313737716973,0.8285345421924427,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-26,Gokuldham Society,48,0.5,Hit,0.017056668706419923,0.8852920212921682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-27,Gokuldham Society,57,0.0,Hit,0.015377448801859029,0.9695552826643126,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-27,Gokuldham Society,55,0.0,Hit,0.014100280922426352,0.7661361342051214,2,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
2008-08-27,Gokuldham Society,38,0.5,Good,0.015447422493137748,0.969665538441292,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-08-27,Gokuldham Society,51,0.0,Hit,0.012173553908897971,0.741245085984799,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-27,Gokuldham Society,47,0.5,Hit,0.018749881812059842,0.8893359236483246,2,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,64,0.0,Hit,0.019799194853685836,0.960708611691609,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,50,0.6666666666666666,Hit,0.027744830065009798,1.039289924993684,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,35,0.0,Good,0.024636371260051623,1.1437649667818972,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,Gokuldham Society,56,-0.5,Good,0.017913487127092557,1.092280097122,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,43,0.5,Hit,0.01914357816349067,0.7240935668375004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,Gokuldham Society,54,0.0,Hit,0.01692169224393385,0.8594576051841724,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-27,Gokuldham Society,76,-0.5,Hit,0.016950026065729356,0.8433273946999652,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,49,0.0,Hit,0.012568438060599308,0.5094752417966647,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,64,-0.6666666666666666,Hit,0.012966713539681093,0.7765684626404421,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,62,0.0,Hit,0.013041214137036157,0.8087202918591722,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,63,0.0,Hit,0.019326211154203153,0.7511757621655071,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,53,0.6666666666666666,Hit,0.012946678799248679,0.7034885718322779,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,68,0.6666666666666666,Hit,0.01628988265928343,0.7612726194007713,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,Gokuldham Society,48,0.0,Hit,0.015109127847761611,0.8304064435996947,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,92,0.5,Hit,0.01565713846185184,0.8114400680968982,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,81,0.0,Good,0.012195939142943117,0.945346650460902,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,67,0.5,Good,0.01651203367056874,0.77558056381712,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,57,0.0,Hit,0.014148531363124505,0.801694696619139,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,37,0.0,Good,0.022470685211285625,1.0831942230720137,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,68,0.0,Good,0.023364162338232766,0.9209162118180054,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,78,0.0,Hit,0.015807962459343915,0.791419340035782,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,86,0.0,Hit,0.020938060651031012,0.9405383305145825,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-27,UNKNOWN_LOCATION,86,0.0,Hit,0.015175169538542092,0.7550667123438488,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-28,UNKNOWN_LOCATION,73,-0.5,Hit,0.020715232344358195,0.7233463473511207,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
