episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,released_datetime,release_year,release_month,release_day_of_week,release_quarter,publish_year,publish_month,publish_hour,publish_day_of_week,publish_time_category,runtime_minutes,runtime_category,description_length,description_word_count,title_length,title_word_count,lead_cast_count,supporting_cast_count,total_cast_count,has_jethalal,has_tapu,has_daya,has_taarak,has_bhide,has_champaklal,like_to_view_ratio,comment_to_view_ratio,comment_to_like_ratio,engagement_score,view_category
1,Taarak Mehta Introduces Himself And Society Members,"Taarak Mehta introduces himself and the society members of Gokuldham Society starting with his wife, Anjali Mehta, followed by his dear friend, Jethalal Champaklal Gada, who always lands in some or the other problem. Jethalal gets a horrifying dream in which all the members of Gokuldham society are blaming Jethalal for Tapu's mischief that he does every day in the society. What will be the Judge's final decision? Will Jethalal find a unique way to solve his never-ending problem?",21 mins,28-Jul-08,Mehta,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-06-12 10:28:16+00:00,72664387,1016462,37340,2008-07-28,2008,7,Monday,3,2017.0,6.0,10.0,Monday,Morning,21,Standard,483,79,51,7,1,4,5,False,False,False,False,False,False,0.013988447821235348,0.0005138693248197452,0.03673522794238453,8.598616422669107,High
2,Jethalal's Son Tapu Decides To Spend His Holiday,"Jethalal's son Tapu decides to spend his holiday playing cricket in the premises of Gokuldham society but soon, the game lands young Tappu in trouble. Irked by the damage done by Tapu to their property, the society members approach Jethalal Gada for a solution to this problem. What will Jethalal do?",18 mins,29-Jul-08,"Jethalal, Tapu","Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-06-12 10:29:12+00:00,67847093,565943,15556,2008-07-29,2008,7,Tuesday,3,2017.0,6.0,10.0,Monday,Morning,18,Standard,300,51,48,8,2,5,7,True,True,False,False,False,False,0.00834144790342826,0.00022928026954256877,0.027486818483807584,5.096580849873984,High
3,Tapu Has Been The Worry Of Jethalal,"More than the society members, Tapu has been the worry of Jethalal. He has finally decided to do something about it and decides to take Tapu with him to his shop. But will that actually be a solution to the problems? Will Tapu work at Jethalal's shop?",19 mins,30-Jul-08,"Jethalal, Tapu","Abdul, Anjali, Bagha, Komal, Madhavi, Nattu, Roshan",Gokuldham Society,Sony SAB,2017-06-13 08:50:12+00:00,47863603,396330,12416,2008-07-30,2008,7,Wednesday,3,2017.0,6.0,8.0,Tuesday,Morning,19,Standard,251,47,35,7,2,7,9,True,True,False,False,False,False,0.00828040445930482,0.0002594037841362719,0.031327350118966216,5.072004189237401,High
4,Daya Approaches Taarak Mehta For Help,"Tapu lands Jethalal Gada into yet another trouble as he makes an Inspector believe that he has been hired as a child labourer in Jethalal's shop. The Inspector presses charges of indulging into child labour on Jethalal and incarcerates him for the same. On learning of this news, a worried Daya approaches Taarak Mehta for help. Will Taarak be of any help in the matter?",18 mins,31-Jul-08,"Daya, Mehta","Abdul, Bagha, Inspector, Nattu",Gokuldham Society,Sony SAB,2017-06-13 08:50:30+00:00,25065515,196479,4391,2008-07-31,2008,7,Thursday,3,2017.0,6.0,8.0,Tuesday,Morning,18,Standard,370,65,37,6,2,4,6,False,False,True,False,False,False,0.007838617804636457,0.00017518091388982378,0.02234833061889251,4.773243048337803,High
5,Jethalal In Huge Trouble,Tapu has decided to take full revenge from his own father for his mother's tears. This complete family drama has put Jethalal into huge trouble. He is now concerned about his son's behaviour and decides to do something about it. What conclusion will Taarak Mehta and Jethalal reach to? Will Taarak help his dear friend Jethalal?,18 mins,01-Aug-08,Jethalal,Inspector,Gokuldham Society,Sony SAB,2017-06-14 09:51:07+00:00,25838780,213620,4892,2008-08-01,2008,8,Friday,3,2017.0,6.0,9.0,Wednesday,Morning,18,Standard,328,56,24,4,1,1,2,True,False,False,False,False,False,0.00826741787857562,0.0001893278169740283,0.022900370281947937,5.036181853934983,High
6,Champaklal Gada Goes Missing,"Tragedy befalls on Jethalal's family once again when his father, Champaklal Gada, goes missing from the railway station. Concerned about her father-in-law's safety, Daya approaches the media for help. Will their search end on a good note? Where is Champaklal after all?",16 mins,04-Aug-08,"Jethalal, Daya, Bapuji",,Gokuldham Society,Sony SAB,2017-06-14 09:51:23+00:00,18778491,150403,3122,2008-08-04,2008,8,Monday,3,2017.0,6.0,9.0,Wednesday,Morning,16,Standard,269,42,28,4,3,0,3,True,False,True,False,False,False,0.008009322580322211,0.0001662540314738798,0.020757426664184463,4.872095160782879,Above_Avg
7,Champaklal Gada Gets A Grand Welcome In Gokuldham Society,It is time for celebrations as Champaklal Gada is coming back to Gokuldham society. Tapu welcomes him with excessive zeal and society members greet him with utmost pleasure. But how does everybody come together when a problem strikes? Find out in this episode.,20 mins,05-Aug-08,Champaklal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-19 21:41:39+00:00,29841820,251198,5642,2008-08-05,2008,8,Tuesday,3,2017.0,7.0,21.0,Wednesday,Night,20,Standard,260,43,57,9,1,4,5,False,False,False,False,False,True,0.008417649847842731,0.00018906352933354838,0.022460280494747194,5.126215320439058,High
8,Mumbai Is Hit By Heavy Rains,"As Mumbai is hit by heavy rains, the residents of Gokuldham Society are struck by varied kinds of problems. In the meanwhile, Tapu and his friends decide to play football in the rain.  Anjali is worried as she is unable to reach her husband in this bad weather. Watch this episode to see how the children's decision to play outside the society compound causes panic among the parents.",19 mins,06-Aug-08,"Tapu, Anjali","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony SAB,2017-07-19 21:41:58+00:00,25896699,203932,4445,2008-08-06,2008,8,Wednesday,3,2017.0,7.0,21.0,Wednesday,Night,19,Standard,384,68,28,6,2,8,10,False,True,False,False,False,False,0.007874825749999035,0.0001716434912556426,0.021796374299402253,4.793552846501679,High
9,Jethalal Is Thrown In An Unlikely Situation,"All the parents of the Gokuldham society are delighted on their children's safe return. Meanwhile, Jethalal's father is struggling to adjust to the ways of city life. Infuriated by the insults flung at him by Bhide, Champaklal walks out of the society and goes missing. Watch this episode to see the various problems arising from Champaklal's barbaric ways.",19 mins,07-Aug-08,Jethalal,"Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony SAB,2017-07-20 11:02:19+00:00,26287849,218506,4312,2008-08-07,2008,8,Thursday,3,2017.0,7.0,11.0,Thursday,Morning,19,Standard,357,58,43,7,1,8,9,True,False,False,False,False,False,0.008312052906570905,0.00016403015081111616,0.019733921567730097,5.052843804266989,High
10,Champak Chacha Returns Home,Bhide has been well accounted for and held responsible by the Gada family for Champaklal's plight. His apologies are not working and the only solution left now is that Champak chacha returns home. Will this problem receive a permanent solution?,19 mins,08-Aug-08,"Champaklal, Bhide",,Gokuldham Society,Sony SAB,2017-07-20 11:02:23+00:00,24302726,201303,4257,2008-08-08,2008,8,Friday,3,2017.0,7.0,11.0,Thursday,Morning,19,Standard,244,40,27,4,2,0,2,False,False,False,False,True,True,0.008283144521188918,0.00017516552772040768,0.02114712077256289,5.039952923801514,High
