episode_no,episode_title,description,episode_runtime,released_on,lead_cast_matches,supporting_cast_matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,runtime_minutes,is_successful,desc_length,desc_word_count,desc_sentence_count,avg_word_length,has_conflict,has_main_char,has_emotion,has_society,has_mystery,has_family,question_count,has_question,exclamation_count,total_cast,has_lead_cast,has_supporting_cast,cast_ratio,release_year,release_month,release_day,release_day_of_week,release_quarter,is_weekend,estimated_season,is_pilot,is_early_episode,is_milestone,cast_x_runtime,desc_length_x_questions,like_rate,comment_rate,engagement_rate
1,Taarak Mehta Introduces Himself And Society Members,"Taarak Mehta introduces himself and the society members of Gokuldham Society starting with his wife, Anjali Mehta, followed by his dear friend, Jethalal Champaklal Gada, who always lands in some or the other problem. Jethalal gets a horrifying dream in which all the members of Gokuldham society are blaming Jethalal for Tapu's mischief that he does every day in the society. What will be the Judge's final decision? Will Jethalal find a unique way to solve his never-ending problem?",21 mins,2008-07-28,0.0,0.0,Gokuldham Society,Sony SAB,,72664387.0,1016462.0,37340.0,21.0,1,483,79,5,6.0375,1,1,1,1,1,1,2,1,0,0.0,0,0,0.0,2008.0,7.0,28.0,0.0,3.0,0,1,1,1,0,0.0,966,0.013988447821235348,0.0005138693248197452,0.014502317146055094
2,Jethalal's Son Tapu Decides To Spend His Holiday,"Jethalal's son Tapu decides to spend his holiday playing cricket in the premises of Gokuldham society but soon, the game lands young Tappu in trouble. Irked by the damage done by Tapu to their property, the society members approach Jethalal Gada for a solution to this problem. What will Jethalal do?",18 mins,2008-07-29,0.0,0.0,Gokuldham Society,Sony SAB,,67847093.0,565943.0,15556.0,18.0,1,300,51,4,5.769230769230769,1,1,0,1,1,1,1,1,0,0.0,0,0,0.0,2008.0,7.0,29.0,1.0,3.0,0,1,0,1,0,0.0,300,0.00834144790342826,0.00022928026954256877,0.008570728172970828
3,Tapu Has Been The Worry Of Jethalal,"More than the society members, Tapu has been the worry of Jethalal. He has finally decided to do something about it and decides to take Tapu with him to his shop. But will that actually be a solution to the problems? Will Tapu work at Jethalal's shop?",19 mins,2008-07-30,0.0,0.0,Gokuldham Society,Sony SAB,,47863603.0,396330.0,12416.0,19.0,1,251,47,5,5.229166666666667,1,1,1,1,0,0,2,1,0,0.0,0,0,0.0,2008.0,7.0,30.0,2.0,3.0,0,1,0,1,0,0.0,502,0.00828040445930482,0.0002594037841362719,0.008539808243441091
4,Daya Approaches Taarak Mehta For Help,"Tapu lands Jethalal Gada into yet another trouble as he makes an Inspector believe that he has been hired as a child labourer in Jethalal's shop. The Inspector presses charges of indulging into child labour on Jethalal and incarcerates him for the same. On learning of this news, a worried Daya approaches Taarak Mehta for help. Will Taarak be of any help in the matter?",18 mins,2008-07-31,0.0,0.0,,Sony SAB,,25065515.0,196479.0,4391.0,18.0,1,370,65,5,5.606060606060606,1,1,0,0,0,0,1,1,0,0.0,0,0,0.0,2008.0,7.0,31.0,3.0,3.0,0,1,0,1,0,0.0,370,0.007838617804636457,0.00017518091388982378,0.008013798718526281
5,Jethalal In Huge Trouble,Tapu has decided to take full revenge from his own father for his mother's tears. This complete family drama has put Jethalal into huge trouble. He is now concerned about his son's behaviour and decides to do something about it. What conclusion will Taarak Mehta and Jethalal reach to? Will Taarak help his dear friend Jethalal?,18 mins,2008-08-01,0.0,0.0,,Sony SAB,,25838780.0,213620.0,4892.0,18.0,1,328,56,6,5.754385964912281,1,1,0,0,0,1,2,1,0,0.0,0,0,0.0,2008.0,8.0,1.0,4.0,3.0,0,1,0,1,0,0.0,656,0.00826741787857562,0.0001893278169740283,0.008456745695549647
6,Champaklal Gada Goes Missing,"Tragedy befalls on Jethalal's family once again when his father, Champaklal Gada, goes missing from the railway station. Concerned about her father-in-law's safety, Daya approaches the media for help. Will their search end on a good note? Where is Champaklal after all?",16 mins,2008-08-04,0.0,0.0,,Sony SAB,,18778491.0,150403.0,3122.0,16.0,1,269,42,5,6.255813953488372,0,1,0,0,0,1,2,1,0,0.0,0,0,0.0,2008.0,8.0,4.0,0.0,3.0,0,1,0,1,0,0.0,538,0.008009322580322211,0.0001662540314738798,0.008175576611796092
7,Champaklal Gada Gets A Grand Welcome In Gokuldham Society,It is time for celebrations as Champaklal Gada is coming back to Gokuldham society. Tapu welcomes him with excessive zeal and society members greet him with utmost pleasure. But how does everybody come together when a problem strikes? Find out in this episode.,20 mins,2008-08-05,0.0,0.0,Gokuldham Society,Sony SAB,,29841820.0,251198.0,5642.0,20.0,1,260,43,5,5.909090909090909,1,1,0,1,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,5.0,1.0,3.0,0,1,0,1,0,0.0,260,0.008417649847842731,0.00018906352933354838,0.008606713377176278
8,Mumbai Is Hit By Heavy Rains,"As Mumbai is hit by heavy rains, the residents of Gokuldham Society are struck by varied kinds of problems. In the meanwhile, Tapu and his friends decide to play football in the rain.  Anjali is worried as she is unable to reach her husband in this bad weather. Watch this episode to see how the children's decision to play outside the society compound causes panic among the parents.",19 mins,2008-08-06,0.0,0.0,Gokuldham Society,Sony SAB,,25896699.0,203932.0,4445.0,19.0,1,384,68,5,5.565217391304348,1,1,0,1,0,1,0,0,0,0.0,0,0,0.0,2008.0,8.0,6.0,2.0,3.0,0,1,0,1,0,0.0,0,0.007874825749999035,0.0001716434912556426,0.008046469241254676
9,Jethalal Is Thrown In An Unlikely Situation,"All the parents of the Gokuldham society are delighted on their children's safe return. Meanwhile, Jethalal's father is struggling to adjust to the ways of city life. Infuriated by the insults flung at him by Bhide, Champaklal walks out of the society and goes missing. Watch this episode to see the various problems arising from Champaklal's barbaric ways.",19 mins,2008-08-07,0.0,0.0,Gokuldham Society,Sony SAB,,26287849.0,218506.0,4312.0,19.0,1,357,58,5,6.0508474576271185,1,1,0,1,0,1,0,0,0,0.0,0,0,0.0,2008.0,8.0,7.0,3.0,3.0,0,1,0,1,0,0.0,0,0.008312052906570905,0.00016403015081111616,0.008476083057382023
10,Champak Chacha Returns Home,Bhide has been well accounted for and held responsible by the Gada family for Champaklal's plight. His apologies are not working and the only solution left now is that Champak chacha returns home. Will this problem receive a permanent solution?,19 mins,2008-08-08,0.0,0.0,,Sony SAB,,24302726.0,201303.0,4257.0,19.0,1,244,40,4,5.951219512195122,1,1,0,0,0,1,1,1,0,0.0,0,0,0.0,2008.0,8.0,8.0,4.0,3.0,0,1,0,1,0,0.0,244,0.008283144521188918,0.00017516552772040768,0.008458310048909326
