episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
1,Taarak Mehta Introduces Himself And Society Members,"Taarak Mehta introduces himself and the society members of Gokuldham Society starting with his wife, Anjali Mehta, followed by his dear friend, Jethalal Champaklal Gada, who always lands in some or the other problem. Jethalal gets a horrifying dream in which all the members of Gokuldham society are blaming Jethalal for Tapu's mischief that he does every day in the society. What will be the Judge's final decision? Will Jethalal find a unique way to solve his never-ending problem?",21 mins,28-Jul-08,Mehta,0,Gokuldham Society,Sony SAB,2017-06-12T10:28:16Z,72664387,1016462,37340
2,Jethalal's Son Tapu Decides To Spend His Holiday,"Jethalal's son Tapu decides to spend his holiday playing cricket in the premises of Gokuldham society but soon, the game lands young Tappu in trouble. Irked by the damage done by Tapu to their property, the society members approach Jethalal Gada for a solution to this problem. What will Jethalal do?",18 mins,29-Jul-08,"Jethalal, Tapu",,Gokuldham Society,Sony SAB,2017-06-12T10:29:12Z,67847093,565943,15556
3,Tapu Has Been The Worry Of Jethalal,"More than the society members, Tapu has been the worry of Jethalal. He has finally decided to do something about it and decides to take Tapu with him to his shop. But will that actually be a solution to the problems? Will Tapu work at Jethalal's shop?",19 mins,30-Jul-08,"Jethalal, Tapu",,Gokuldham Society,Sony SAB,2017-06-13T08:50:12Z,47863603,396330,12416
4,Daya Approaches Taarak Mehta For Help,"Tapu lands Jethalal Gada into yet another trouble as he makes an Inspector believe that he has been hired as a child labourer in Jethalal's shop. The Inspector presses charges of indulging into child labour on Jethalal and incarcerates him for the same. On learning of this news, a worried Daya approaches Taarak Mehta for help. Will Taarak be of any help in the matter?",18 mins,31-Jul-08,"Daya, Mehta",,,Sony SAB,2017-06-13T08:50:30Z,25065515,196479,4391
5,Jethalal In Huge Trouble,Tapu has decided to take full revenge from his own father for his mother's tears. This complete family drama has put Jethalal into huge trouble. He is now concerned about his son's behaviour and decides to do something about it. What conclusion will Taarak Mehta and Jethalal reach to? Will Taarak help his dear friend Jethalal?,18 mins,01-Aug-08,Jethalal,,,Sony SAB,2017-06-14T09:51:07Z,25838780,213620,4892
6,Champaklal Gada Goes Missing,"Tragedy befalls on Jethalal's family once again when his father, Champaklal Gada, goes missing from the railway station. Concerned about her father-in-law's safety, Daya approaches the media for help. Will their search end on a good note? Where is Champaklal after all?",16 mins,04-Aug-08,"Jethalal, Daya, Bapuji",,,Sony SAB,2017-06-14T09:51:23Z,18778491,150403,3122
7,Champaklal Gada Gets A Grand Welcome In Gokuldham Society,It is time for celebrations as Champaklal Gada is coming back to Gokuldham society. Tapu welcomes him with excessive zeal and society members greet him with utmost pleasure. But how does everybody come together when a problem strikes? Find out in this episode.,20 mins,05-Aug-08,Champaklal,,Gokuldham Society,Sony SAB,2017-07-19T21:41:39Z,29841820,251198,5642
8,Mumbai Is Hit By Heavy Rains,"As Mumbai is hit by heavy rains, the residents of Gokuldham Society are struck by varied kinds of problems. In the meanwhile, Tapu and his friends decide to play football in the rain.  Anjali is worried as she is unable to reach her husband in this bad weather. Watch this episode to see how the children's decision to play outside the society compound causes panic among the parents.",19 mins,06-Aug-08,"Tapu, Anjali",,Gokuldham Society,Sony SAB,2017-07-19T21:41:58Z,25896699,203932,4445
9,Jethalal Is Thrown In An Unlikely Situation,"All the parents of the Gokuldham society are delighted on their children's safe return. Meanwhile, Jethalal's father is struggling to adjust to the ways of city life. Infuriated by the insults flung at him by Bhide, Champaklal walks out of the society and goes missing. Watch this episode to see the various problems arising from Champaklal's barbaric ways.",19 mins,07-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-07-20T11:02:19Z,26287849,218506,4312
10,Champak Chacha Returns Home,Bhide has been well accounted for and held responsible by the Gada family for Champaklal's plight. His apologies are not working and the only solution left now is that Champak chacha returns home. Will this problem receive a permanent solution?,19 mins,08-Aug-08,"Champaklal, Bhide",,,Sony SAB,2017-07-20T11:02:23Z,24302726,201303,4257
